10909.png,22.77,0.922
10945.png,17.27,0.864
11052.png,25.69,0.951
11064.png,22.43,0.937
11374.png,22.18,0.909
11398.png,23.25,0.918
1225.png,27.99,0.981
12290.png,14.96,0.696
12336.png,18.46,0.877
12348.png,17.88,0.694
12422.png,21.95,0.942
12433.png,20.55,0.835
1407.png,24.55,0.945
1491.png,21.24,0.909
15001.png,21.32,0.904
15045.png,24.97,0.977
15094.png,22.45,0.923
15113.png,18.44,0.849
15136.png,20.87,0.904
1539.png,19.69,0.876
15418.png,19.14,0.749
15426.png,22.81,0.906
15704.png,18.92,0.898
1573.png,27.52,0.924
1660.png,25.55,0.975
1742.png,19.00,0.947
1957.png,22.35,0.935
208_img_.png,23.55,0.939
209_img_.png,22.26,0.936
210_img_.png,25.77,0.929
211_img_.png,23.92,0.957
212_img_.png,25.60,0.961
213_img_.png,28.04,0.926
2546.png,25.28,0.963
25_img_.png,24.06,0.942
2629.png,20.39,0.855
2677.png,14.84,0.880
26_img_.png,20.53,0.876
2701.png,17.81,0.855
2774.png,21.83,0.912
2787.png,17.83,0.848
2882.png,22.47,0.919
2977.png,21.65,0.909
3001.png,22.51,0.907
3015.png,24.56,0.957
3196.png,16.93,0.827
3202.png,29.56,0.966
3330.png,25.00,0.844
3650.png,22.50,0.910
3728.png,23.33,0.906
379_img_.png,20.72,0.916
380_img_.png,18.12,0.885
381_img_.png,24.38,0.958
382_img_.png,18.29,0.907
383_img_.png,22.24,0.934
3925.png,19.88,0.924
3947.png,26.07,0.938
4070.png,26.73,0.955
540_img_.png,29.62,0.964
541_img_.png,28.84,0.972
542_img_.png,20.49,0.902
543_img_.png,24.40,0.951
544_img_.png,34.55,0.981
5554.png,19.93,0.942
5818.png,24.72,0.975
5830.png,24.50,0.961
601_img_.png,20.48,0.922
602_img_.png,28.84,0.967
603_img_.png,27.13,0.967
604_img_.png,28.34,0.949
605_img_.png,28.83,0.968
6062.png,22.35,0.917
6082.png,23.52,0.954
6788.png,23.48,0.969
6820.png,32.82,0.974
8010.png,26.55,0.976
8046.png,29.09,0.972
82_img_.png,24.92,0.950
86_img_.png,15.19,0.785
87_img_.png,25.10,0.949
89_img_.png,25.19,0.960
90_img_.png,24.85,0.937
928_img_.png,21.81,0.869
929_img_.png,22.57,0.896
9547.png,17.43,0.904
9554.png,28.11,0.968
9557.png,25.41,0.954
9567.png,26.09,0.965
9896.png,25.67,0.916
9900.png,20.44,0.812
