10909.png,6.25,0.325
10945.png,5.58,0.510
11052.png,6.80,0.380
11064.png,7.15,0.503
11374.png,5.02,0.335
11398.png,6.11,0.415
1225.png,6.14,0.475
12290.png,13.97,0.623
12336.png,7.75,0.503
12348.png,12.75,0.661
12422.png,7.74,0.494
12433.png,6.94,0.453
1407.png,6.08,0.462
1491.png,7.37,0.499
15001.png,5.17,0.387
15045.png,5.81,0.189
15094.png,4.58,0.174
15113.png,5.34,0.109
15136.png,3.39,0.188
1539.png,6.26,0.432
15418.png,6.32,0.246
15426.png,3.63,0.302
15704.png,5.64,0.290
1573.png,6.78,0.433
1660.png,8.58,0.419
1742.png,6.24,0.416
1957.png,6.41,0.330
208_img_.png,5.52,0.151
209_img_.png,3.98,0.209
210_img_.png,4.13,0.260
211_img_.png,5.42,0.259
212_img_.png,5.10,0.192
213_img_.png,4.26,0.221
2546.png,5.22,0.454
25_img_.png,5.62,0.211
2629.png,5.96,0.375
2677.png,6.62,0.557
26_img_.png,5.34,0.274
2701.png,8.03,0.587
2774.png,6.07,0.349
2787.png,7.07,0.485
2882.png,7.50,0.509
2977.png,5.84,0.388
3001.png,6.28,0.531
3015.png,5.25,0.440
3196.png,4.45,0.429
3202.png,5.74,0.484
3330.png,6.50,0.420
3650.png,6.01,0.397
3728.png,5.27,0.321
379_img_.png,4.78,0.383
380_img_.png,4.63,0.447
381_img_.png,4.86,0.293
382_img_.png,4.98,0.325
383_img_.png,4.89,0.242
3925.png,7.74,0.423
3947.png,5.38,0.418
4070.png,5.85,0.494
540_img_.png,5.63,0.350
541_img_.png,4.20,0.310
542_img_.png,6.22,0.498
543_img_.png,3.90,0.183
544_img_.png,6.49,0.615
5554.png,5.28,0.525
5818.png,5.71,0.645
5830.png,5.58,0.654
601_img_.png,4.27,0.104
602_img_.png,4.24,0.141
603_img_.png,4.59,0.168
604_img_.png,4.82,0.255
605_img_.png,4.53,0.193
6062.png,5.89,0.543
6082.png,6.18,0.667
6788.png,7.31,0.356
6820.png,5.62,0.455
8010.png,5.42,0.352
8046.png,7.71,0.465
82_img_.png,5.38,0.172
86_img_.png,4.64,0.427
87_img_.png,4.19,0.133
89_img_.png,4.79,0.309
90_img_.png,4.21,0.117
928_img_.png,6.68,0.523
929_img_.png,6.66,0.401
9547.png,6.00,0.514
9554.png,5.52,0.415
9557.png,4.28,0.292
9567.png,4.24,0.430
9896.png,6.68,0.505
9900.png,5.67,0.255
